"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","entrezgene_id"
"21642","240159_at",0.240482456854854,4.27991411381686,1.08266826681411,0.279522512719783,0.386490697284299,-6.45972442088363,NA
"21643","223502_s_at",-0.238180594960431,10.1349281833886,-1.08247093234329,0.279610049623759,0.386593869839734,-6.45993636516494,10673
"21644","207127_s_at",0.0985562009518315,8.55751205604836,1.08234565968081,0.279665629853586,0.386652851032098,-6.46007089254103,3189
"21645","211813_x_at",-0.163946958457423,5.13643709926422,-1.08229822473965,0.279686677472577,0.386664085779136,-6.46012182776945,1634
"21646","224600_at",0.142034667356201,7.87752476925717,1.08197160496025,0.279831633059957,0.386846613124187,-6.46047248896032,8545
"21647","207075_at",-0.224627156692367,7.26905344244822,-1.08156973865154,0.280010053730145,0.387075384479182,-6.46090379084961,114548
"21648","1566602_at",-0.0628320621099832,4.77248071389594,-1.08130988012278,0.280125467042136,0.387217039715858,-6.46118259842282,NA
"21649","227205_at",-0.102949584551359,7.24030975780419,-1.0812769012666,0.280140116557415,0.387219402645115,-6.46121797735141,6872
"21650","221589_s_at",0.213771020297058,6.33648134945817,1.08115421443666,0.280194619775668,0.387276849984623,-6.46134958342413,4329
"21651","1555904_at",-0.124278246887489,4.18096730417799,-1.0808004184442,0.280351832946913,0.387476248168834,-6.46172901692831,10129
"21652","210192_at",-0.127790448059928,4.24988003944795,-1.08055714035176,0.280459971138396,0.387607804191084,-6.46198985226319,10396
"21653","1558739_at",-0.163871611599845,3.51507551873973,-1.08049930452558,0.280485683601095,0.38762543740263,-6.46205185347325,NA
"21654","201608_s_at",0.0842099723202203,8.27390037904071,1.08033217700523,0.280559993635548,0.387699686652693,-6.46223099909978,11137
"21655","223210_at",0.166955807911953,7.33698330399976,1.08032019294454,0.280565322632805,0.387699686652693,-6.46224384387245,91612
"21656","205623_at",0.0680770766185725,5.11637281604578,1.08023931148359,0.280601290299202,0.387731483695665,-6.46233053064614,218
